Ticker,"Sustainalytics ESG Risk Score 
 2012-01","Sustainalytics ESG Risk Score 
 2012-02","Sustainalytics ESG Risk Score 
 2012-03","Sustainalytics ESG Risk Score 
 2012-04","Sustainalytics ESG Risk Score 
 2012-05","Sustainalytics ESG Risk Score 
 2012-06","Sustainalytics ESG Risk Score 
 2012-07","Sustainalytics ESG Risk Score 
 2012-08","Sustainalytics ESG Risk Score 
 2012-09","Sustainalytics ESG Risk Score 
 2012-10","Sustainalytics ESG Risk Score 
 2012-11","Sustainalytics ESG Risk Score 
 2012-12","Sustainalytics ESG Risk Score 
 2013-01","Sustainalytics ESG Risk Score 
 2013-02","Sustainalytics ESG Risk Score 
 2013-03","Sustainalytics ESG Risk Score 
 2013-04","Sustainalytics ESG Risk Score 
 2013-05","Sustainalytics ESG Risk Score 
 2013-06","Sustainalytics ESG Risk Score 
 2013-07","Sustainalytics ESG Risk Score 
 2013-08","Sustainalytics ESG Risk Score 
 2013-09","Sustainalytics ESG Risk Score 
 2013-10","Sustainalytics ESG Risk Score 
 2013-11","Sustainalytics ESG Risk Score 
 2013-12","Sustainalytics ESG Risk Score 
 2014-01","Sustainalytics ESG Risk Score 
 2014-02","Sustainalytics ESG Risk Score 
 2014-03","Sustainalytics ESG Risk Score 
 2014-04","Sustainalytics ESG Risk Score 
 2014-05","Sustainalytics ESG Risk Score 
 2014-06","Sustainalytics ESG Risk Score 
 2014-07","Sustainalytics ESG Risk Score 
 2014-08","Sustainalytics ESG Risk Score 
 2014-09","Sustainalytics ESG Risk Score 
 2014-10","Sustainalytics ESG Risk Score 
 2014-11","Sustainalytics ESG Risk Score 
 2014-12","Sustainalytics ESG Risk Score 
 2015-01","Sustainalytics ESG Risk Score 
 2015-02","Sustainalytics ESG Risk Score 
 2015-03","Sustainalytics ESG Risk Score 
 2015-04","Sustainalytics ESG Risk Score 
 2015-05","Sustainalytics ESG Risk Score 
 2015-06","Sustainalytics ESG Risk Score 
 2015-07","Sustainalytics ESG Risk Score 
 2015-08","Sustainalytics ESG Risk Score 
 2015-09","Sustainalytics ESG Risk Score 
 2015-10","Sustainalytics ESG Risk Score 
 2015-11","Sustainalytics ESG Risk Score 
 2015-12","Sustainalytics ESG Risk Score 
 2016-01","Sustainalytics ESG Risk Score 
 2016-02","Sustainalytics ESG Risk Score 
 2016-03","Sustainalytics ESG Risk Score 
 2016-04","Sustainalytics ESG Risk Score 
 2016-05","Sustainalytics ESG Risk Score 
 2016-06","Sustainalytics ESG Risk Score 
 2016-07","Sustainalytics ESG Risk Score 
 2016-08","Sustainalytics ESG Risk Score 
 2016-09","Sustainalytics ESG Risk Score 
 2016-10","Sustainalytics ESG Risk Score 
 2016-11","Sustainalytics ESG Risk Score 
 2016-12","Sustainalytics ESG Risk Score 
 2017-01","Sustainalytics ESG Risk Score 
 2017-02","Sustainalytics ESG Risk Score 
 2017-03","Sustainalytics ESG Risk Score 
 2017-04","Sustainalytics ESG Risk Score 
 2017-05","Sustainalytics ESG Risk Score 
 2017-06","Sustainalytics ESG Risk Score 
 2017-07","Sustainalytics ESG Risk Score 
 2017-08","Sustainalytics ESG Risk Score 
 2017-09","Sustainalytics ESG Risk Score 
 2017-10","Sustainalytics ESG Risk Score 
 2017-11","Sustainalytics ESG Risk Score 
 2017-12","Sustainalytics ESG Risk Score 
 2018-01","Sustainalytics ESG Risk Score 
 2018-02","Sustainalytics ESG Risk Score 
 2018-03","Sustainalytics ESG Risk Score 
 2018-04","Sustainalytics ESG Risk Score 
 2018-05","Sustainalytics ESG Risk Score 
 2018-06","Sustainalytics ESG Risk Score 
 2018-07","Sustainalytics ESG Risk Score 
 2018-08","Sustainalytics ESG Risk Score 
 2018-09","Sustainalytics ESG Risk Score 
 2018-10","Sustainalytics ESG Risk Score 
 2018-11","Sustainalytics ESG Risk Score 
 2018-12","Sustainalytics ESG Risk Score 
 2019-01","Sustainalytics ESG Risk Score 
 2019-02","Sustainalytics ESG Risk Score 
 2019-03","Sustainalytics ESG Risk Score 
 2019-04","Sustainalytics ESG Risk Score 
 2019-05","Sustainalytics ESG Risk Score 
 2019-06"
HBCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,46,46,46,46,46,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,45,45,45
HMPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,47,47,47,47,47,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
HTBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,48,48,48,48,47,48,48,48,48,48,,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49
FIXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47
HON,53,53,53,53,53,53,53,54,56,,,,,,,57,57,,,,57,55,56,,,57,,,,,56,,,,,,57,57,59,,,,57,57,57,,57,,54,54,54,54,54,54,54,54,57,,,,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,52,52,52,52,52,52,54,54,54,53,54,53,53
HOFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,45,,,,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,48,48
HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,48,48,,,48,,48,48,48,47,47,47,47,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48,48,48,48,48,48,48
HBNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,47,47,47,47,47,49,49,49,49,49,,49,49,49,49,49,49,49,49,47,47,47,47,47,47,47
HZNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,45,47,47,47,47,47,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50
HST,54,54,54,54,54,54,54,58,,,,60,60,,,,,,,59,,64,,,,,,,,,,64,,68,,,,,69,,,,65,68,68,68,,,68,,68,68,67,67,,67,67,,,,73,72,72,75,75,75,75,75,75,72,,72,72,72,72,72,72,72,72,72,72,72,72,72,72,68,68,68,68,68
TWNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
HUBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,44,,,,,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45,45,45,45,45,45
HGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN,47,47,47,47,46,46,46,46,,,,,,,51,51,,,,53,52,,,,,52,,,53,,,,,,,,,,52,,52,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,,,53,53,53,53,52,52,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53
HURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,46,46,46,,,,46,46,46,46,46,46,46,46,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
HCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42
HYFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46
IAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,40,40,40,40,40,,40,40,40,39,39,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
ICFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,47,47,47,,,,47,47,51,51,51,51,51,51,52,52,52,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53
ICHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,53,53,53
ICLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,,,,,51,51,51,50,50,50,50,50,50,50,50,,50,50,50,,50,50,50,50,50,50,50,50,50,49,49,49
IDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,45,45,45,,45,45,,45,45,45,45,45,45,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
IDXX,50,50,50,50,50,50,50,49,,,,,,,,,,,,,,,,,,49,50,,,,,,,,,,,,,,,,49,49,49,,49,,49,49,49,49,49,49,,49,49,53,,,53,53,52,52,52,52,52,52,52,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
IESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,,47,47,47,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,48
IGMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,51,51,51,51,51,52,52,52,52,51,51
IIVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,,,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
IKNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILMN,50,53,53,53,52,52,52,65,,,,,69,,,68,,,,,,65,,,,65,,,,,,,,,,,64,,59,,,,56,50,50,,50,50,48,,48,48,48,48,49,49,49,,,49,49,49,49,49,49,49,49,49,55,54,54,59,59,59,59,59,59,59,59,59,60,60,60,60,61,61,61,61,61,60
IMAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
IMVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,46,46,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48
NARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,46,48,45,45,,45,45,45,45,45,45,45,47,47,47,47,,,47,48,48,48,48,48,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50
INDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,48,48,48,46,46,47,47,47,47,47,,47,47,47,47,47,47,47,47,44,44,44,44,44,44,44
IBCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,48,48,45,45,45,45,45,45,45,45,,45,45,45,45,45,45,45,45,51,51,51,51,51,51,51
IBTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,49,,,49,,,49,49,46,46,46,46,46,47,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
INDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,49,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
ILPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42
INFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,56,,,,,56,56,56,56,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,64,64,64,64,64
INFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,,,,48,48,48,48,46,46,46,46,46,46,46,,,,,,,,,,,,,,,,,
IFRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
IEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMKTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,53,,,,,53,53,53,53,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
INBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,57,57,57,,,,,,,,57,57,57,57,57,57,,,,57,57,57,57,57,57,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,46,47,47,47,47,47
IOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,52,52,,,,52,,52,52,58,,58,58,58,57,57,57,57,57,57,57,57,59,59,59,59,59,59,59,59,59,59,59,56,56
INNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,45,,,,,,45,45,45,45,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
INGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,52,,,,,,52,52,52,52,52,52,52,53,53,53,53,,53,53,52,,52,52,52,52,52,53,53,53,53,53,53,53
NOTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
INZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,51,,51,51,,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,
NSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,47,,,,,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,52,52,52,52,52,52
INSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42,,,,,,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48
INSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,47,47,47,,47,47,47,47,47,,
TIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PODD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,49,,,,48,48,48,47,47,47,47,47,47,48,48,48,48,,48,48,48,,48,48,48,48,48,48,48,48,48,45,45,45
INTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,50,50,50,50,50,50,50,52,52,52,52,,52,52,52,,52,52,52,52,52,52,52,47,47,47,47,47
IAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,84,85,85,85,84,85,85,86,,,85,,,,,85,,,,86,,86,86,,,88,,,88,86,,86,,,86,,86,,87,87,,,88,87,87,87,87,,87,87,87,87,86,86,,86,85,,84,,,84,84,84,84,84,84,86,86,86,86,86,,85,85,85,85,85,86,86,86,86,86,86,87,87,87,87,87,87
NTLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44
IPAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,49,,,,,49,49,49,49,,49,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
IBKR,62,62,62,62,62,62,62,62,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,61,,,,60,60,60,,,,60,,60,60,60,60,,60,60,60,60,60,,47,47,47,51,51,51,51,51,48,48,48,48,46,46,46,46,47,,47,47,47,47,47,47,47,47,47,47,47
ICPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,48,,,,,,,,,,,48,48,48,,48,,48,48,,48,48,48,,48,47,,,,,47,47,47,47,47,47,47,47,47,45,46,46,46,44,44,44,44,44,44,44,44,44,41,41,41,41,41,41,41
IDCC,,,,,,50,50,49,,,,,,,,,,,,,,,,,,49,49,,,,,,,,,,,,,,,,48,48,48,,,,48,,,48,48,48,,48,48,,,,,48,48,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
TILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,56,,,,55,55,,55,,,55,,55,55,55,55,,55,55,55,,,,55,55,60,60,60,64,64,64,64,64,64,,61,61,62,62,56,56,56,56,56,56,56,56,56,56,55,55,55
IBOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,48,,,48,48,47,47,47,47,47,46,46,46,46,46,,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47
IMXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42,,,,,,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41
INTU,64,64,64,64,64,64,64,64,64,,,,,,,64,,,,,64,,,,,63,,,63,62,,,,,,,,,63,,,,60,60,62,,62,62,62,62,62,62,62,61,61,61,61,,,,60,59,59,60,60,60,60,60,60,62,62,63,63,66,66,66,66,66,66,66,66,66,66,66,66,66,63,62,62,61
ISRG,50,50,50,50,50,50,50,53,,,,52,,,,,51,50,,,,,,,,51,,,,,,,,,,,49,,49,,,,49,49,49,49,49,49,49,49,49,49,49,47,,47,47,47,47,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48
IVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,,46,46,46,46,46,46,,46,46,46,46,46,,46,46,46,46,46,46,46,46,46,47,47
IONR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47
IONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,44,44,43,43,43,43,43,43,,,43,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42
IOVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,39,,,,,,39,39,39,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40
IPGP,51,51,51,51,51,51,51,50,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,48,48,48,,,,48,,,48,48,48,,48,48,,,,,48,48,48,48,48,48,48,48,46,46,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44
IRMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,48,,,,,48,48,48,48,48,48,48,48,49,49,49,49,,,,,,,49,49,49,49,49,49,49,49,49,49,49
